formula,synonym,description
AlLiO2,lithium aluminate,"Lithium aluminate (LiAlO2), also called lithium aluminium oxide, is an inorganic chemical compound, an aluminate of lithium.  In microelectronics, lithium aluminate is considered as a lattice matching substrate for gallium nitride.[citation needed] In nuclear technology, lithium aluminate is of interest as a solid tritium breeder material, for preparing tritium fuel for nuclear fusion.[citation needed]

Lithium aluminate is a layered double hydroxide (LDH) with a crystal structure resembling that of hydrotalcite.[dubious  – discuss][clarification needed] Lithium aluminate solubility at high pH (12.5 – 13.5) is much lower than that of aluminium oxides. In the conditioning of low- and intermediate level radioactive waste (LILW), lithium nitrate is sometimes used as additive to cement to minimise aluminium corrosion at high pH and subsequent hydrogen production. Indeed, upon addition of lithium nitrate to cement, a passive layer of LiH(AlO2)2 · 5 H2O is formed onto the surface of metallic aluminium waste immobilised in mortar. The lithium aluminate layer is insoluble in cement pore water and protects the underlying aluminium oxide covering the metallic aluminium from dissolution at high pH. It is also a pore filler. This hinders the aluminium oxidation by the protons of water and reduces the hydrogen evolution rate by a factor of 10.
"
AlN,aluminium nitride,"Aluminium nitride (AlN) is a solid nitride of aluminium. It has a high thermal conductivity of up to 321 W/(m·K) and is an electrical insulator. Its wurtzite phase (w-AlN) has a band gap of ~6 eV at room temperature and has a potential application in optoelectronics operating at deep ultraviolet frequencies.
"
Ac2O3,actinium(III) oxide,"Actinium(III) oxide is a chemical compound containing the rare radioactive element actinium. It has the formula Ac2O3. It is similar to its corresponding lanthanum compound, lanthanum(III) oxide, and contains actinium in the oxidation state +3. Actinium oxide is not to be confused with Ac2O (acetic anhydride), where Ac is an abbreviation for acetyl instead of the symbol of the element actinium.
"
Al(NO3)3,aluminium nitrate,"Aluminium nitrate is a white, water-soluble salt of aluminium and nitric acid, most commonly existing as the crystalline hydrate, aluminium nitrate nonahydrate, Al(NO3)3·9H2O.
"
AgCN,silver cyanide,"Silver cyanide is the chemical compound with the formula AgCN. It is a white salt that is precipitated upon treatment of solutions containing Ag+ with cyanide, which is used in some schemes to recover silver from solution. Silver cyanide is used in silver-plating.
"
AgF,silver fluoride,"Silver(I) bromide
Silver(I) iodide
Silver(I) astatide
"
Ag2CrO4,silver chromate,"Silver chromate is an inorganic compound with formula Ag2CrO4 which appears as distinctively coloured brown-red crystals. The compound is insoluble and its precipitation is indicative of the reaction between soluble chromate and silver precursor salts (commonly potassium/sodium chromate with silver nitrate). This reaction is important for two uses in the laboratory: in analytical chemistry it constitutes the basis for the Mohr method of argentometry, whereas in neuroscience it is used in the Golgi method of staining neurons for microscopy.
"
Ag2Cl2,silver(II) dichloride,NO DESCRIPTION
Ag2C2O4,silver oxalate,"Silver oxalate (Ag2C2O4) is commonly employed in experimental petrology to add carbon dioxide (CO2) to experiments as it will break down to silver (Ag) and carbon dioxide under geologic conditions.  It is also a precursor to the production of silver nanoparticles.
It is explosive upon heating around 140 degrees Celsius, shock or friction.

"
Ag2CO3,silver(I) carbonate,"Silver carbonate is the chemical compound with the formula Ag2CO3. This salt is yellow but typical samples are grayish due to the presence of elemental silver. It is poorly soluble in water, like most transition metal carbonates.
"
Ag2C2,silver acetylide,"Silver acetylide is an inorganic chemical compound with the formula Ag2C2, a metal acetylide. The compound can be regarded as a salt of the weak acid, acetylene. The salt's anion consists of two carbon atoms linked by a triple bond. The alternate name ""silver carbide"" is rarely used, although the analogous calcium compound CaC2 is called calcium carbide. Silver acetylide is a primary explosive.
"
AgSNC,silver thiocyanate,"Silver thiocyanate is the silver salt of thiocyanic acid with the formula AgSCN. Silver thiocyanate appears as a white crystalline powder. It is very commonly used in the synthesis of silver nanoparticles. Additionally, studies have found silver nanoparticles to be present in saliva present during the entire digestive process of silver nitrate. Silver thiocyanate is slightly soluble in water, with a solubility of 1.68 x 10−4 g/L. It is insoluble in ethanol, acetone, and acid.
"
AgPF6,silver hexafluorophosphate,"Silver hexafluorophosphate, sometimes referred to ""silver PF-6,"" is an inorganic compound with the chemical formula AgPF6.
"
AgONC,silver cyanate,"Silver cyanate is the cyanate salt of silver. It can be made by the reaction of potassium cyanate  with silver nitrate in aqueous solution, from which it precipitates as a solid.
"
AgCNO,silver fulminate,"Silver fulminate (AgCNO) is the highly explosive silver salt of fulminic acid.
"
AgO,silver monoxide,"Silver(I,III) oxide or tetrasilver tetroxide is the inorganic compound with the formula Ag4O4. It is a component of silver zinc batteries. It can be prepared by the slow addition of a silver(I) salt to a persulfate solution e.g. AgNO3 to a Na2S2O8 solution.  It adopts an unusual structure, being a mixed-valence compound.  It is a dark brown solid that decomposes with evolution of O2 in water.  It dissolves in concentrated nitric acid to give brown solutions containing the Ag2+ ion.
"
AgN3,silver azide,"Silver azide is the chemical compound with the formula AgN3. It is a silver(I) salt of hydrazoic acid. It forms a colorless crystals. Like most azides, it is a primary explosive.
"
AgMnO4,silver permanganate,"Silver permanganate is an inorganic compound with the chemical formula AgMnO4. This salt is a purple crystal adopting a monoclinic crystal system. It decomposes when heated or mixed with water, and heating to high temperature may lead to explosion. The compound is used in gas masks.[citation needed]
"
AgIO4,silver periodate,NO DESCRIPTION
AgIO3,silver iodate,"Silver iodate (AgIO3) is a light-sensitive, white crystal composed of silver, iodine and oxygen. Unlike most metal iodates, it is practically insoluble in water.
"
AgIO2,silver iodite,NO DESCRIPTION
AgIO,silver hypoiodite,NO DESCRIPTION
AgI,silver iodide,"Silver iodide is an inorganic compound with the formula AgI.  The compound is a bright yellow solid, but samples almost always contain impurities of metallic silver that give a gray coloration.  The silver contamination arises because some samples of AgI can be highly photosensitive.  This property is exploited in silver-based photography.  Silver iodide is also used as an antiseptic and in cloud seeding.
"
AgF2,silver(II) fluoride,"Silver(II) fluoride is a chemical compound with the formula AgF2.  It is a rare example of a silver(II) compound - silver usually exists in its +1 oxidation state.  It is used as a fluorinating agent.
"
AgNO3,silver nitrate,"Silver nitrate is an inorganic compound with chemical formula AgNO3. It is a versatile precursor to many other silver compounds, such as those used in photography. It is far less sensitive to light than the halides. It was once called lunar caustic because silver was called luna by ancient alchemists who associated silver with the moon. In solid silver nitrate, the silver ions are three-coordinated in a trigonal planar arrangement.
"
AlGaInP,aluminium-gallium-indium phosphide,NO DESCRIPTION
AlH3,aluminium hydride,"Aluminium hydride (also known as alane and alumane) is an inorganic compound with the formula AlH3. Alane and its derivatives are part of a family of common reducing reagents in organic synthesis based around group 13 hydrides. In solution—typically in etherial solvents such tetrahydrofuran or diethyl ether—aluminium hydride forms complexes with Lewis bases, and reacts selectively with particular organic functional groups (e.g., with carboxylic acids and esters over organic halides and nitro groups), and although it is not a reagent of choice, it can react with carbon-carbon multiple bonds (i.e., through hydroalumination). Given its density, and with hydrogen content on the order of 10% by weight, some forms of alane are, as of 2016, active candidates for storing hydrogen and so for power generation in fuel cell applications, including electric vehicles.[not verified in body] As of 2006 it was noted that further research was required to identify an efficient, economical way to reverse the process, regenerating alane from spent aluminium product.
"
AuF5·F2,Gold heptafluoride,"Gold heptafluoride is a gold(V) compound with the empirical formula AuF7. The synthesis of this compound was first reported in 1986. However, current calculations suggest that the structure of the synthesized molecule was actually a difluorine ligand on a gold pentafluoride core, AuF5·F2. That would make it the first difluorine complex and the first compound containing a fluorine atom with an oxidation state of zero. The gold(V)–difluorine complex is calculated to be 205 kJ/mol more stable than gold(VII) fluoride. The vibrational frequency at 734 cm−1 is the hallmark of the end-on coordinated difluorine molecule.
"
AlI3,Aluminium iodide,"Aluminium iodide  is a chemical compound containing aluminium and iodine.  Invariably, the name refers to a compound of the composition AlI3, formed by the reaction of aluminium and iodine or the action of HI on Al metal.  The hexahydrate is obtained from a reaction between metallic aluminum or aluminum hydroxide with hydrogen iodide or hydroiodic acid.  Like the related chloride and bromide, AlI3 is a strong Lewis acid and will absorb water from the atmosphere.  It is employed as a reagent for the scission of certain kinds of C-O and N-O bonds. It cleaves aryl ethers and deoxygenates epoxides.
"
Al2O3,Aluminium oxide,"Aluminium oxide (or aluminium(III) oxide) is a chemical compound of aluminium and oxygen with the chemical formula Al2O3. It is the most commonly occurring of several aluminium oxides, and specifically identified as aluminium oxide. It is commonly called alumina and may also be called aloxide, aloxite, or alundum in various forms and applications. It occurs naturally in its crystalline polymorphic phase α-Al2O3 as the mineral corundum, varieties of which form the precious gemstones ruby and sapphire.  Al2O3 is significant in its use to produce aluminium metal, as an abrasive owing to its hardness, and as a refractory material owing to its high melting point.
"
AlCl3,Aluminium chloride,"Aluminium chloride, also known as aluminium trichloride, is an inorganic compound with the formula AlCl3. It forms a hexahydrate  with the formula [Al(H2O)6]Cl3, containing six water molecules of hydration. Both the anhydrous form and the hexahydrate are colourless crystals, but samples are often contaminated with iron(III) chloride, giving them a yellow colour.
"
AlF3,Aluminium fluoride,"Aluminium fluoride is an inorganic compound with the formula AlF3. It forms hydrates AlF3·xH2O. Anhydrous AlF3 and its hydrates are all colorless solids. Anhydrous AlF3 is used in the production of aluminium metal. Several occur as minerals.
"
Al(OH)3,Aluminium hydroxide,"Aluminium hydroxide, Al(OH)3, is found in nature as the mineral gibbsite (also known as hydrargillite) and its three much rarer polymorphs: bayerite, doyleite, and nordstrandite. Aluminium hydroxide is amphoteric, i.e., it has both basic and acidic properties. Closely related are aluminium oxide hydroxide, AlO(OH), and aluminium oxide or alumina (Al2O3), the latter of which is also amphoteric. These compounds together are the major components of the aluminium ore bauxite. Aluminium hydroxide also forms a gelatinous precipitate in water.
"
